"SELF_1","SELF_2","SELF_3","SELF_4","SELF_5","SELF_6","OBS1_1","OBS1_2","OBS1_3","OBS1_4","OBS1_5","OBS1_6","OBS2_1","OBS2_2","OBS2_3","OBS2_4","OBS2_5","OBS2_6","OBS3_1","OBS3_2","OBS3_3","OBS3_4","OBS3_5","OBS3_6"
3.73421025622538,2.78173459276141,2.45363539047264,2.67627716353711,3.50367787893398,3.56028701590027,4.33019629384457,4.70437280995018,4.29254313312588,5.23694872707007,4.25870256779299,5.07744180006943,4.01813107246137,4.15984110949603,4.54844903019089,3.74994150379956,4.38490315369009,4.63906399551059,4.79527798645538,4.53776063587267,5.03899287170786,4.7028487123367,4.01733795355305,3.87727899845715
4.98195864063042,4.0155811395693,4.68504303008831,4.0834686096883,4.34994587412506,4.63546103720304,4.03168807051832,3.81442200505537,4.06751804688302,4.55935176399483,4.96276388084503,4.26545914525421,3.83470977953691,3.86157550038843,3.60674786990584,4.01678815317359,4.66916300155818,4.63175796881693,2.9273947937363,2.95564950709859,2.98564910675206,2.78891018833054,2.8755807587843,3.56869692211503
6.59537208190771,6.58225966801872,6.2974009811365,6.39972889667993,5.70380691932319,6.15705947272972,5.03387750789115,5.07061461278123,5.34136125553064,3.94344549083945,4.20957011119069,5.75460144405228,4.73744148414758,3.83120916585186,4.04975821328576,4.13385550378112,3.97181942650754,4.44311754430754,4.97950158615896,5.02831785125628,4.89995445623719,3.95066453086051,4.83116048524023,4.77404028060828
5.27627840601083,4.06214168131815,4.58659218468056,4.61571657832132,4.53068502556313,4.10357491511152,3.1503488843223,3.26503994299725,3.62413203153391,3.43572392585057,3.80288634677468,2.77620501243423,3.4899947959778,4.07962362189656,3.07818106986715,4.2276605924157,3.8445144455476,3.43355571414977,2.90288450635157,2.70176758859878,3.50215525480915,3.55231245966191,3.2549974340561,2.69831001280333
2.34795916520409,2.62469006849694,2.13118957727157,2.73765816341761,1.82235998051961,2.10158048024503,2.62695786324298,2.10335559302636,2.52274894846133,2.77241556019753,2.79421136717316,2.85983985037393,2.76598555334971,2.89529686207555,3.39190321961825,2.62689839967133,2.75230012301674,3.14531727980513,2.78363856020787,3.36262824271245,3.12836232352564,3.31035206617218,2.3455255448548,3.34536878470751
4.36464337974869,4.63882336924923,4.92098122695581,5.12475249128203,4.96479634026916,5.13302585112756,4.43015456162969,3.94878910836142,4.70144863728189,4.59050437246376,4.26616206534704,4.15762635426392,3.43034647854522,3.95120663366211,3.35557417055335,4.13047752212719,3.55662815712046,3.76468047626139,4.56822444392875,4.65397522464431,5.37584649389185,4.75595961214776,4.82218070027246,4.56432000318358
4.35549465697531,4.17285805102531,3.92130439177224,3.87414682296605,4.10693328198161,3.09942454276454,3.40693425795543,4.3121900458393,3.75530035678067,3.52733051474488,3.95163200350074,4.07750049839206,4.0253779699294,3.61382474518083,4.58544869955116,3.75515066651239,3.69957698272549,3.484609488824,3.94212918364048,3.88744610980752,3.74716675783201,3.95387397765784,4.1116512729911,3.78477505599502
2.82085489177167,2.85953174348879,2.67378919963905,2.47301663665394,3.7065478328966,3.05289096799358,3.55367875062217,3.57100001233622,3.10503964956794,3.4992404728386,3.18843229868696,3.57119509073946,3.72071364711324,3.66898161806599,3.42957574233399,3.21559799808855,3.26082748975179,3.87095815252569,3.33869609842678,2.98428418805375,4.205716465416,3.32705092725922,3.7487037410406,4.16665934189806
4.15206191837325,4.8655848201944,4.81340392143762,4.73710496584315,4.45128559003911,4.99884560026949,3.2162646701088,2.18825640392141,2.48508897253076,2.36089862480017,2.32549197304546,2.69049801196247,2.71972922159188,2.56194675808726,2.26155295759485,2.60800727530683,3.11216557487297,2.21975916394204,1.91402999883101,2.3451563837275,1.26712293138718,2.21711626009342,1.41105098016678,2.26043372899504
3.61337490641922,4.50286599564032,4.38751712443861,2.92054527102258,3.4881517107338,3.63900817376798,3.81706590107222,3.63359009971991,3.36152955293238,4.44875158957695,4.95441916579779,3.8353022830663,3.3290169222982,2.19313347014686,2.11933609091911,1.88969794458292,3.68773009722375,3.65059499881259,3.38632815782662,4.26663551794532,3.48566830647565,4.27147250199432,3.95467554521578,4.54595979879686
3.9150248021757,3.70686272596071,4.20532880654119,3.31833555883359,3.47968783649953,3.59249438407908,4.5409478659857,4.33933064452019,4.39756097159773,4.2217102833669,4.54374229871356,4.30228339989278,4.32169282456369,4.36384751635703,4.08258241996545,3.44847913271101,4.34034102521337,4.22969245435345,5.26843604901057,4.55856839184256,4.78149014167674,4.91903292258167,4.72897011871195,5.15355301967733
4.88204813514323,4.04277560826563,4.22567896144229,4.51208916224456,4.0080473457653,4.26323635838419,4.44011756798656,6.19548470931078,5.88881013576437,5.99969678713595,5.76240829357385,6.15190852960062,4.99448354740157,4.08952637343402,5.21864281880567,5.00639206994208,4.72829324332395,4.72918820103957,5.1416220689246,4.58432333287275,5.16886359815341,5.29718707638345,5.23342189687691,4.77730396325844
5.2714388688766,5.38031734173711,4.52679094942405,4.99565954546709,5.41619396958326,4.72818938285159,4.99449840960427,4.87762186143895,5.50744382343597,4.96564329889533,4.94193680953393,4.07082786882203,4.52490982926316,4.04567434992448,4.02683954379389,3.93591561379154,4.05515101229639,4.33101723674299,4.30067056808134,5.64365884626874,4.84590222571167,3.52005613250362,5.36759905903987,5.5055870400172
