"RESP_ID","ITEM_ID","RATER_ID","RESPONSE"
1,1,1,7.20543578360164
1,1,2,2.85553025594773
1,1,3,5.42261489723937
1,1,4,0.10762556544099
1,1,5,0.440743672474561
1,1,6,-0.737216071531735
1,1,7,7.03840345379557
1,1,8,11.686428686026
1,1,9,-3.34460664621711
1,1,10,4.15703884730139
1,2,1,4.35962368189507
1,2,2,2.36427857936691
1,2,3,2.66324596633722
1,2,4,6.80656794503702
1,2,5,8.51009940881108
1,2,6,-0.9629720188614
1,2,7,2.47220915871625
1,2,8,6.40705662435841
1,2,9,-0.563465419041749
1,2,10,2.95670880936417
1,3,1,-0.316216742751338
1,3,2,-5.92520277496793
1,3,3,1.14490965668343
1,3,4,-1.22828249745371
1,3,5,-0.990003674591686
1,3,6,-3.08434177602052
1,3,7,-5.38249931219611
1,3,8,8.60514274410431
1,3,9,-7.75572620445667
1,3,10,-1.25944147735432
1,4,1,8.61311853919668
1,4,2,0.908762680314907
1,4,3,1.16424540523034
1,4,4,1.4979912936057
1,4,5,-1.08814297569216
1,4,6,-1.39096342816749
1,4,7,3.59660157752943
1,4,8,14.2079472985577
1,4,9,-2.72719999558798
1,4,10,7.8207144610145
1,5,1,7.41735788502459
1,5,2,-1.58605507694531
1,5,3,-3.40931398140125
1,5,4,3.96622413524187
1,5,5,2.53510494204317
1,5,6,4.56457927737834
1,5,7,5.08919205399728
1,5,8,3.0452240786763
1,5,9,-2.12067371170626
1,5,10,8.61790760914027
1,6,1,-1.56631572199005
1,6,2,-12.4556460326471
1,6,3,-1.38335153944677
1,6,4,-0.791962083176088
1,6,5,2.34153415884941
1,6,6,-4.27884498171507
1,6,7,-3.71963742568414
1,6,8,9.38726927891099
1,6,9,-4.85503456667931
1,6,10,3.28717486351489
1,7,1,-3.44563293627178
1,7,2,-10.3238986518894
1,7,3,-9.003351064781
1,7,4,0.96071628005948
1,7,5,-2.36154820384466
1,7,6,-1.63412989848001
1,7,7,3.26744178839192
1,7,8,0.145769942949821
1,7,9,-9.55176447128304
1,7,10,-4.55746700981177
1,8,1,6.81895717862868
1,8,2,-1.79764371422798
1,8,3,6.6614193275183
1,8,4,5.10806618609781
1,8,5,7.37582285782142
1,8,6,5.70952380700124
1,8,7,-0.159260384959523
1,8,8,7.32111469769179
1,8,9,-5.30184338527504
1,8,10,6.88891529320443
1,9,1,8.18174123000998
1,9,2,-2.26252127752486
1,9,3,5.83713473463209
1,9,4,7.13422983553587
1,9,5,5.82200140172279
1,9,6,11.6341135123525
1,9,7,12.1615996549853
1,9,8,5.7008405797591
1,9,9,-5.17661767934704
1,9,10,7.00175004611587
1,10,1,-0.494465103601159
1,10,2,-8.54140945340349
1,10,3,0.905642896714756
1,10,4,-4.54242263752325
1,10,5,1.10505947584721
1,10,6,-7.21086704626623
1,10,7,-0.394874233346277
1,10,8,3.9755433682704
1,10,9,-7.36386674936611
1,10,10,-1.67393232814445
2,1,1,4.68040302477298
2,1,2,3.87259763892048
2,1,3,8.28125260977805
2,1,4,10.5252495326734
2,1,5,15.4207682305501
2,1,6,26.1845394147848
2,1,7,15.3705421848914
2,1,8,1.5384058813381
2,1,9,18.9756433645708
2,1,10,11.8771269351144
2,2,1,5.4029472128951
2,2,2,15.158942199212
2,2,3,14.0005488805785
2,2,4,19.4006070251318
2,2,5,23.7247973152861
2,2,6,26.1572330693907
2,2,7,21.4595461543673
2,2,8,3.67733128288935
2,2,9,13.5241464940367
2,2,10,16.3625031966675
2,3,1,-7.80263516572003
2,3,2,6.77002114120733
2,3,3,9.12267289899563
2,3,4,0.722532197723902
2,3,5,14.7965339834077
2,3,6,23.7831429710686
2,3,7,9.47007385105066
2,3,8,4.61682761729022
2,3,9,6.32588709671834
2,3,10,9.27473887323352
2,4,1,5.88460649228636
2,4,2,18.9275787020888
2,4,3,12.4271007102158
2,4,4,10.7862703987204
2,4,5,17.7261698798667
2,4,6,21.0580683531269
2,4,7,15.2528576561227
2,4,8,8.70146204450747
2,4,9,12.154777527996
2,4,10,16.4270409915514
2,5,1,9.4215263822126
2,5,2,16.0555980884363
2,5,3,7.73937433523248
2,5,4,16.0695758715488
2,5,5,18.769910660207
2,5,6,34.2518830996572
2,5,7,17.3015636461257
2,5,8,4.93821937225143
2,5,9,17.6478973716358
2,5,10,21.8563273752435
2,6,1,-3.5457642074476
2,6,2,11.3904595451798
2,6,3,14.7614126319736
2,6,4,19.0875250191647
2,6,5,18.2349950718445
2,6,6,23.8174762299958
2,6,7,16.9870808599154
2,6,8,5.72999912183099
2,6,9,21.5575942976637
2,6,10,13.4159420215578
2,7,1,11.1033956773906
2,7,2,14.9143135198544
2,7,3,11.0725893661408
2,7,4,20.0606872124983
2,7,5,21.7051983673798
2,7,6,28.790644827801
2,7,7,17.7371910928703
2,7,8,10.0932613453243
2,7,9,18.8523583623439
2,7,10,17.6793583247223
2,8,1,4.73240098268233
2,8,2,9.91442264601499
2,8,3,13.7487621468706
2,8,4,16.5935283083895
2,8,5,19.1470710145844
2,8,6,28.2718316320719
2,8,7,18.5570097636387
2,8,8,5.73812372402324
2,8,9,13.486261996891
2,8,10,13.6833506111837
2,9,1,2.42771207115859
2,9,2,11.838464719114
2,9,3,12.1814780596911
2,9,4,18.774703440619
2,9,5,15.9739407437936
2,9,6,30.3981093839953
2,9,7,22.9861504257582
2,9,8,3.3967599136588
2,9,9,12.705472074773
2,9,10,15.9280069766878
2,10,1,7.70788429035947
2,10,2,9.22660636628701
2,10,3,11.3615744030225
2,10,4,16.8504875419908
2,10,5,22.4318881550001
2,10,6,24.9475201534427
2,10,7,19.3404592100773
2,10,8,5.11636623659919
2,10,9,15.3138827838224
2,10,10,14.9432993065296
3,1,1,1.30823534604987
3,1,2,10.9506833545166
3,1,3,-0.562571106455125
3,1,4,-1.74399579274478
3,1,5,11.9906930803476
3,1,6,8.57223313722661
3,1,7,7.65865017198255
3,1,8,-1.48304603525857
3,1,9,12.8128372728807
3,1,10,-2.95779559646741
3,2,1,4.79857169587346
3,2,2,11.7034478888988
3,2,3,7.12951850577112
3,2,4,10.603891493131
3,2,5,18.932667097903
3,2,6,14.2914509907087
3,2,7,11.3631342241654
3,2,8,-6.59570250449814
3,2,9,18.806531927727
3,2,10,-2.72572771938957
3,3,1,-9.5035149466887
3,3,2,9.64351574989559
3,3,3,2.46117163708705
3,3,4,3.94154258632423
3,3,5,9.24547204565691
3,3,6,12.0458586237746
3,3,7,8.03578087796184
3,3,8,-1.53025001783047
3,3,9,12.7967409008602
3,3,10,-10.0924801791437
3,4,1,0.95087610095669
3,4,2,14.5591337365722
3,4,3,0.815177780501012
3,4,4,1.73529527703323
3,4,5,11.5427678383957
3,4,6,11.223583199205
3,4,7,7.8227431727233
3,4,8,1.19723983258812
3,4,9,14.1215353828793
3,4,10,-8.60882712118202
3,5,1,8.38767166918221
3,5,2,12.5997882290577
3,5,3,-0.186359810491561
3,5,4,4.31844470860633
3,5,5,9.7444821117216
3,5,6,15.2234250888305
3,5,7,18.4676845537975
3,5,8,-0.505956598098169
3,5,9,19.1047324177839
3,5,10,1.72050396240317
3,6,1,-4.51188558372515
3,6,2,0.343841416679509
3,6,3,-1.97926611651054
3,6,4,1.68899116140382
3,6,5,9.8307530136312
3,6,6,1.6322746056876
3,6,7,4.94539065387477
3,6,8,-8.20205326170169
3,6,9,6.83180403987728
3,6,10,-14.2514149683077
3,7,1,2.74444100400506
3,7,2,12.8976061949603
3,7,3,6.44899054765875
3,7,4,10.11617721251
3,7,5,16.3095275530248
3,7,6,8.13119156500668
3,7,7,12.200880403133
3,7,8,0.352720549274821
3,7,9,13.6876602336356
3,7,10,-3.72170562464973
3,8,1,-0.0845448341908466
3,8,2,3.15446918214904
3,8,3,-1.27060127840707
3,8,4,2.71301344339255
3,8,5,14.7921548627671
3,8,6,10.3547417761473
3,8,7,13.7724256052596
3,8,8,-0.11834673840384
3,8,9,8.61783284478357
3,8,10,-0.62455334866357
3,9,1,0.894443298232261
3,9,2,8.91225532763754
3,9,3,8.26725447901564
3,9,4,6.5356972835671
3,9,5,9.77553645236496
3,9,6,19.9662901214596
3,9,7,12.0803768847734
3,9,8,2.25572896411561
3,9,9,12.9587523747576
3,9,10,-1.53823327531843
3,10,1,0.77477219916488
3,10,2,8.01927388148203
3,10,3,1.63278869731403
3,10,4,0.206161117580665
3,10,5,11.3741506057758
3,10,6,9.74407962253096
3,10,7,11.9975201697221
3,10,8,-1.13282301224793
3,10,9,7.34399944178172
3,10,10,-7.54345859065066
4,1,1,-9.12418694859935
4,1,2,-11.3629090587667
4,1,3,-12.2477632815632
4,1,4,-15.2934066897109
4,1,5,-0.767784042279836
4,1,6,-2.46334247387123
4,1,7,0.463027935783392
4,1,8,-2.37735809107021
4,1,9,1.16280016236097
4,1,10,-7.33486762825422
4,2,1,-2.16131968945723
4,2,2,-3.26762953169043
4,2,3,-2.38972192047366
4,2,4,-4.13967862927285
4,2,5,8.90722620976379
4,2,6,2.27752646946828
4,2,7,3.61860846302166
4,2,8,-2.09834214119871
4,2,9,6.66566756462892
4,2,10,3.89497504220518
4,3,1,-12.7158198431348
4,3,2,-10.1017458039915
4,3,3,-6.32080933244568
4,3,4,-3.7113648648938
4,3,5,9.50209466290825
4,3,6,3.10724938066008
4,3,7,0.788624928527843
4,3,8,-0.74965099610918
4,3,9,3.62426248271886
4,3,10,4.92199713903886
4,4,1,-5.70161335626937
4,4,2,-3.80077216792716
4,4,3,-5.67338122338651
4,4,4,-8.70415971432414
4,4,5,4.75805988290635
4,4,6,1.94918336018319
4,4,7,3.05633909637907
4,4,8,4.94528367333761
4,4,9,5.2376227646565
4,4,10,2.72723404783116
4,5,1,-3.03614189412554
4,5,2,-5.97731970460585
4,5,3,-10.7790178789612
4,5,4,-0.190589699121787
4,5,5,8.53957676559591
4,5,6,8.26876824248027
4,5,7,5.41608649812551
4,5,8,-0.747726822250714
4,5,9,15.3416134558698
4,5,10,8.74654695886312
4,6,1,-10.3280958876679
4,6,2,-9.68166321810424
4,6,3,-7.58689350890958
4,6,4,-5.60679662812457
4,6,5,5.11156917455321
4,6,6,-4.26431954425997
4,6,7,0.779961220968492
4,6,8,5.2544357624926
4,6,9,6.91117511457997
4,6,10,0.803397734579646
4,7,1,-6.37727446506116
4,7,2,-4.59581617994479
4,7,3,-11.8080128270015
4,7,4,-3.88668137191025
4,7,5,9.40221368977769
4,7,6,4.29983955019005
4,7,7,4.19977564315751
4,7,8,3.86059487089396
4,7,9,6.31114960734051
4,7,10,4.26552537421267
4,8,1,-8.79014220126062
4,8,2,-5.07956333913166
4,8,3,-3.84791024322349
4,8,4,-9.07281715007543
4,8,5,10.9031186005792
4,8,6,4.24413532716728
4,8,7,0.899445644452583
4,8,8,-6.30401612465348
4,8,9,7.04816004409185
4,8,10,8.24574829021497
4,9,1,-8.33192058982146
4,9,2,-7.58927789066634
4,9,3,-8.21156625352783
4,9,4,-2.07057949341239
4,9,5,0.119773655767735
4,9,6,9.44320440531962
4,9,7,-0.793371704536875
4,9,8,2.86521535853345
4,9,9,9.64043425997553
4,9,10,-0.608312794880921
4,10,1,-2.47064124267397
4,10,2,-5.04261077566213
4,10,3,-7.83321712293049
4,10,4,-0.0710537179084116
4,10,5,11.356384074097
4,10,6,1.12026441408414
4,10,7,4.85223580203629
4,10,8,-1.74653628983285
4,10,9,3.70839704620219
4,10,10,5.66324186087105
5,1,1,-7.41556765631086
5,1,2,-1.04434972380538
