"RESP_ID","ITEM_ID","RESPONSE"
1,1,-3.68758266974443
1,2,7.13453266997509
1,3,-1.740990347304
1,4,5.75442029063863
1,5,1.59250605970529
1,6,-3.19397743198503
1,7,7.51389792745025
1,8,4.16301984748649
1,9,2.76156674195143
1,10,6.94029198647179
2,1,0.0180365742178075
2,2,8.06969923948741
2,3,-0.475450848493521
2,4,5.62011098139871
2,5,1.56020735841881
2,6,5.20765377216505
2,7,9.66428228087289
2,8,6.86725651001195
2,9,3.59910062332685
2,10,6.28391661392054
3,1,-2.36025735741733
3,2,5.6931723517419
3,3,2.02074182402336
3,4,1.85621577307831
3,5,3.79996806313847
3,6,6.05446516835499
3,7,6.42765167757272
3,8,2.96648506494873
3,9,5.34210061911317
3,10,7.78284866994054
4,1,-3.31322134108312
4,2,8.82343193182505
4,3,0.463794015412053
4,4,3.39964827015916
4,5,-1.3691974230809
4,6,4.83603601346693
4,7,8.827801125598
4,8,4.47643762393995
4,9,6.1712219929859
4,10,5.80119453693757
5,1,1.63389957739428
5,2,10.2050657298711
5,3,5.35768079854349
5,4,9.09878930033027
5,5,6.13885165166372
5,6,8.36962367326657
5,7,12.1846180097712
5,8,8.36962593267115
5,9,8.68021111302207
5,10,12.2654864391624
6,1,-5.40045461951741
6,2,8.43106859934794
6,3,-2.05427935621138
6,4,1.12672610106376
6,5,2.15792886967314
6,6,5.98915505663665
6,7,8.18381321589439
6,8,4.6791280279927
6,9,5.07303594809307
6,10,6.18675117441249
7,1,0.757403873088105
7,2,7.36235673586745
7,3,1.19819917536747
7,4,8.61285063420713
7,5,1.9809653202843
7,6,11.3374442211205
7,7,7.29918459826338
7,8,6.59041618705359
7,9,6.94798197540642
7,10,11.8025693093298
8,1,0.660262106885417
8,2,10.5657778551781
8,3,2.66852504023716
8,4,3.95310972461299
8,5,3.74977838033393
8,6,11.3866981795804
8,7,6.90809465341353
8,8,9.96859509221669
8,9,7.1598840368881
8,10,9.73433757952445
9,1,0.948424772536768
9,2,9.92500688488711
9,3,2.84794894987755
9,4,5.84120233349209
9,5,5.342528720603
9,6,7.13946980199549
9,7,8.86079131413876
9,8,7.62340552869422
9,9,2.95724612024692
9,10,7.35611698512161
10,1,1.1569925446243
10,2,8.83055593829988
10,3,-1.36254448943286
10,4,7.07258813233599
10,5,3.0145122083249
10,6,6.44237863863011
10,7,12.6879873764588
10,8,3.59826018536608
10,9,7.05992556554589
10,10,10.8279811960619
11,1,2.19283405250911
11,2,11.197815624741
11,3,6.23997555725366
11,4,12.1042927939885
11,5,7.13245949755744
11,6,11.1584784105058
11,7,9.80469521427998
11,8,7.44506494554423
11,9,7.53076772926545
11,10,9.73665855669263
12,1,-0.663898448536956
12,2,7.90343297857523
12,3,0.322527005140168
12,4,7.68142062323953
12,5,6.63817906992018
12,6,2.39018915586166
12,7,10.068400912705
12,8,4.87838683773674
12,9,2.32350737992167
12,10,9.48959880001943
13,1,0.573759862540111
13,2,11.2024082063149
13,3,3.79854287358917
13,4,7.74117158676459
13,5,10.10290035752
13,6,10.8888405763997
13,7,8.53401474440499
13,8,3.84686559453722
13,9,8.72394321149548
13,10,9.53032029911168
14,1,-3.47578671383932
14,2,5.73887308539312
14,3,-1.53872479509453
14,4,0.636599699722173
14,5,1.17668152822447
14,6,6.39758248254283
14,7,11.480061516713
14,8,2.46639376529778
14,9,2.23649021858507
14,10,5.25412472948238
15,1,-0.466489354822375
15,2,8.01134214129385
15,3,2.79525712081941
15,4,8.96896977979213
15,5,0.0620975396823003
15,6,9.78129624172231
15,7,6.89581626684484
15,8,5.51113159881118
15,9,5.02073165341672
15,10,9.09155233145086
16,1,1.2527742205202
16,2,6.67629363094905
16,3,7.12579476066923
16,4,8.97772066489189
16,5,4.94346167720284
16,6,13.648976734347
16,7,14.2595622078031
16,8,4.94474901432867
16,9,8.71279522404207
16,10,12.5405788566963
17,1,-4.9208012287813
17,2,7.29039065786778
17,3,1.12331384130724
17,4,5.85901300152609
17,5,3.11931804766911
17,6,4.99893336558169
17,7,5.51595102466231
17,8,4.71900417558521
17,9,6.25912623348137
